year,pick,player,ws,ws_per_48,bpm,vorp,g,mp,seasons
1989,1,Pervis Ellison,21.8,.090,-0.5,4.4,474,11593,11
1989,2,Danny Ferry,34.8,.092,-0.9,4.9,917,18133,13
1989,3,Sean Elliott,55.7,.109,0.2,13.5,742,24502,12
1989,4,Glen Rice,88.7,.122,0.8,24.9,1000,34985,15
1989,5,J.R. Reid,22.5,.070,-2.9,-3.7,672,15370,11
1989,6,Stacey King,10.9,.071,-3.4,-2.7,438,7406,8
1989,7,George McCloud,24.6,.068,-0.8,5.3,766,17429,12
1989,8,Randy White,1.9,.017,-5.0,-4.0,281,5382,5
1989,9,Tom Hammonds,14.7,.068,-3.8,-4.7,687,10419,12
1989,10,Pooh Richardson,26.7,.066,0.2,10.5,639,19399,10
1989,11,Nick Anderson,55.3,.106,1.9,24.7,800,24922,13
1989,12,Mookie Blaylock,71.8,.111,3.0,39.2,889,31026,13
1989,13,Michael Smith,1.4,.049,-3.6,-0.5,141,1328,3
1989,14,Tim Hardaway,85.0,.133,3.1,39.6,867,30626,13
1989,15,Todd Lichti,5.6,.063,-2.5,-0.5,237,4240,5
1989,16,Dana Barros,49.6,.122,1.7,18.1,850,19480,14
1989,17,Shawn Kemp,89.5,.147,0.6,19.4,1051,29293,14
1989,18,B.J. Armstrong,45.0,.121,-0.2,8.1,747,17790,11
1989,19,Kenny Payne,-0.1,-.005,-4.9,-0.9,144,1167,4
1989,20,Jeff Sanders,-0.1,-.008,-6.3,-0.5,55,462,4
1989,21,Blue Edwards,24.2,.063,-1.6,1.9,704,18409,10
1989,22,Byron Irvin,2.1,.121,0.6,0.6,87,849,3
1989,23,Roy Marble,-0.5,-.122,-8.8,-0.3,29,194,2
1989,24,Anthony Cook,1.0,.033,-3.7,-0.7,116,1499,4
1989,25,John Morton,0.5,.013,-3.0,-0.5,128,1879,3
1989,26,Vlade Divac,96.4,.137,2.3,36.3,1134,33838,16
1989,27,Kenny Battle,3.7,.098,-0.4,0.7,134,1795,4
1989,28,Sherman Douglas,32.9,.075,-0.3,9.2,765,21148,12
1989,29,Dyron Nix,0.0,-.015,-5.8,-0.1,20,109,1
1989,30,Frank Kornet,0.0,-.004,-6.2,-0.6,89,595,2
1989,31,Jeff Martin,2.1,.038,-3.2,-0.8,143,2685,2
1989,32,Stanley Brundy,0.2,.057,-3.1,0.0,16,128,1
1989,33,Jay Edwards,0.0,.022,-4.0,0.0,4,26,1
1989,34,Gary Leonard,0.1,.029,-6.9,-0.2,31,149,3
1989,35,Pat Durham,0.7,.037,-2.0,0.0,64,930,2
1989,36,Clifford Robinson,89.7,.101,0.5,26.6,1380,42561,18
1989,37,Michael Ansley,6.4,.142,-1.0,0.6,149,2143,3
1989,38,Doug West,17.7,.051,-3.0,-4.2,676,16649,12
1989,39,Ed Horton,0.4,.050,-4.9,-0.3,45,374,1
1989,40,Dino Radja,14.3,.094,-0.4,3.0,224,7308,4
1989,41,Doug Roth,0.4,.052,-5.3,-0.3,42,412,1
1989,42,Michael Cutright,,,,,,,
1989,43,Chucky Brown,19.0,.076,-2.7,-2.0,694,11962,13
1989,44,Reggie Cross,,,,,,,
1989,45,Scott Haffner,-0.1,-.012,-5.1,-0.5,50,609,2
1989,46,Ricky Blanton,0.0,.088,-0.3,0.0,2,13,1
1989,47,Reggie Turner,,,,,,,
1989,48,Junie Lewis,,,,,,,
1989,49,Haywoode Workman,10.7,.071,-0.7,2.4,359,7202,8
1989,50,Brian Quinnett,0.9,.027,-3.7,-0.6,138,1530,3
1989,51,Mike Morrison,-0.3,-.106,-10.5,-0.3,36,153,1
1989,52,Greg Grant,1.6,.023,-2.9,-0.8,274,3350,6
1989,53,Jeff Hodge,,,,,,,
1989,54,Toney Mack,,,,,,,
1990,1,Derrick Coleman,64.3,.119,1.4,22.3,781,25903,15
1990,2,Gary Payton,145.5,.148,3.3,62.5,1335,47117,17
1990,3,Mahmoud Abdul-Rauf,25.2,.077,-0.8,4.5,586,15628,9
1990,4,Dennis Scott,33.4,.089,0.2,9.9,629,17983,10
1990,5,Kendall Gill,47.8,.078,0.1,15.8,966,29481,15
1990,6,Felton Spencer,20.9,.081,-4.3,-7.0,640,12298,12
1990,7,Lionel Simmons,16.9,.060,0.0,6.7,454,13472,7
1990,8,Bo Kimble,0.1,.004,-5.7,-1.2,105,1336,3
1990,9,Willie Burton,9.1,.065,-2.5,-0.9,316,6666,8
1990,10,Rumeal Robinson,5.2,.041,-1.5,0.8,336,6098,6
1990,11,Tyrone Hill,56.2,.120,-1.9,0.8,801,22388,14
1990,12,Alec Kessler,2.0,.033,-5.9,-2.8,210,2937,4
1990,13,Loy Vaught,35.8,.101,-1.5,2.2,689,16993,11
1990,14,Travis Mays,2.4,.039,-2.6,-0.5,115,2964,3
1990,15,Dave Jamerson,0.2,.018,-3.9,-0.3,90,594,3
1990,16,Terry Mills,33.3,.097,-0.6,5.9,678,16422,11
1990,17,Jerrod Mustaf,1.7,.043,-4.1,-1.0,179,1902,4
1990,18,Duane Causwell,15.8,.081,-2.3,-0.7,541,9409,11
