year,result_position,team,representative,rep_title,record_w,record_l,odds_pct,chances,seed_delta,pre_lottery_seed,player_picked
1989,1,Sacramento,Gregg Lukenbill,Owner,27,55,11.1,1,5,6,Pervis Ellison
1989,2,L.A. Clippers,Elgin Baylor,General Manager,21,61,11.1,1,1,3,Danny Ferry
1989,3,San Antonio,Bob Bass,General Manager,21,61,11.1,1,1,4,Sean Elliott
1989,4,Miami,Ron Rothstein,Head Coach,15,67,11.1,1,-3,1,Glen Rice
1989,5,Charlotte,Carl Scheer,General Manager,20,62,11.1,1,-3,2,J.R. Reid
1989,6,Chicago,Jerry Krause,General Manager,47,35,11.1,1,-1,5,Stacey King
1989,7,Indiana,Donnie Walsh,General Manager,28,54,11.1,1,0,7,George McCloud
1989,8,Dallas,Norm Sonju,General Manager,38,44,11.1,1,0,8,Randy White
1989,9,Washington,Susan O'Malley,Executive Vice President,40,42,11.1,1,0,9,Tom Hammonds
1990,1,New Jersey,Willis Reed,SR. VP of Basketball Operation,17,65,16.7,11,0,1,Derrick Coleman
1990,2,Seattle,Bob Whitsitt,President,41,41,3.0,2,8,10,Gary Payton
1990,3,Miami,Pauline Winick,Vice President,18,64,15.2,10,-1,2,Chris Jackson
1990,4,Orlando,Pat Williams,President,18,64,13.6,9,-1,3,Dennis Scott
1990,5,Charlotte,Gene Littles,Head Coach,19,63,12.1,8,-1,4,Kendall Gill
1990,6,Minnesota,Bob Stein,President,22,60,10.6,7,-1,5,Felton Spencer
1990,7,Sacramento,Joe Benvenuti,Majority Owner,23,59,9.1,6,-1,6,Lionel Simmons
1990,8,L.A. Clippers,Elgin Baylor,General Manager,30,52,7.6,5,-1,7,Bo Kimble
1990,9,Dallas,Norm Sonju,General Manager,31,51,6.1,4,-1,8,Willie Burton
1990,10,Golden State,Mike Schuler,Assistant Coach,37,45,4.6,3,-1,9,Rumeal Robinson
1990,11,Atlanta,Pete Babcock,General Manager,41,41,1.5,1,0,11,Tyrone Hill
1991,1,Charlotte,Allan Bristow,VP of Basketball Operations,26,56,10.6,7,4,5,Larry Johnson
1991,2,New Jersey,Willis Reed,SR. VP of Basketball Operations,26,56,12.1,8,2,4,Kenny Anderson
1991,3,Sacramento,Joe Benvenuti,Owner,25,57,13.6,9,0,3,Billy Owens
1991,4,Denver,Bernie Bickerstaff,General Manager,20,62,16.7,11,-3,1,Dikembe Mutombo
1991,5,Miami,Pauline Winick,Executive VP,24,58,15.2,10,-3,2,Steve Smith
1991,6,Dallas,Rick Sund,VP/Director of Player Personnel,28,54,9.1,6,0,6,Doug Smith
1991,7,Minnesota,Bob Stein,President,29,53,7.6,5,0,7,Luc Longley
1991,8,Washington,John Nash,General Manager,30,52,6.1,4,0,8,Mark Macon
1991,9,L.A. Clippers,Mike Schuler,Head Coach,31,51,4.6,3,0,9,Stacey Augmon
