lottery_name,nba_name
Chris Jackson,Mahmoud Abdul-Rauf
Steve Smith,Steven Smith
Brian Williams,Bison Dele
Clarence Weatherspoon,Clar. Weatherspoon
Penny Hardaway,Anfernee Hardaway
J.R. Rider,Isaiah Rider
Olivier Saint-Jean,Tariq Abdul-Wahad
Alek Radojevic,Aleksandar Radojevic
Maybyner Hilario,Nene
Mike Sweetney,Michael Sweetney
Saer Sene,Mouhamed Sene
Enes Kanter,Enes Freedom
George Papagiannis,Georgios Papagiannis
Edrice Adebayo,Bam Adebayo
Mohamed Bamba,Mo Bamba
Alexandre Sarr,Alex Sarr
Ron Holland Jr.,Ronald Holland II
Carlton Carrington,Bub Carrington
