college,draftees,hits,hit_rate,total_ws,value_ws,value_ws_z,value_vorp,value_min
Wake Forest,10,7,0.7,622.5,323.0,11.6,151.5,69012.3
California-Los Angeles,36,16,0.444,878.3,223.6,9.08,111.5,119735.2
Marquette,11,3,0.273,336.2,200.9,6.81,98.0,49845.4
Florida,18,10,0.556,559.3,142.5,4.55,45.9,43920.9
Xavier,11,4,0.364,277.6,116.6,3.89,14.2,36861.0
Georgetown,15,9,0.6,577.7,103.4,5.32,-0.1,26371.4
North Carolina,33,18,0.545,1032.9,99.4,3.11,-8.2,72684.6
Alabama,13,5,0.385,319.6,91.8,3.28,35.4,53044.6
Clemson,8,5,0.625,220.7,91.4,4.57,7.9,31654.1
Texas,22,9,0.409,594.9,90.9,2.15,25.0,14497.0
Villanova,11,7,0.636,282.9,73.9,2.56,22.5,38973.6
California,12,4,0.333,318.9,72.6,3.32,43.1,27823.8
Michigan State,21,7,0.333,419.3,70.0,2.85,20.1,35897.3
Arizona State,9,2,0.222,226.3,68.2,2.43,51.1,-2816.0
Southern California,12,5,0.417,309.2,57.4,1.24,7.1,27348.4
Connecticut,29,12,0.414,808.8,52.7,1.51,23.7,27542.1
Colorado,8,3,0.375,204.0,44.7,1.49,18.2,5994.6
Stanford,16,7,0.438,345.5,36.8,0.94,-21.5,7491.3
Tennessee,10,3,0.3,168.0,33.1,1.83,16.4,14425.9
Arkansas,10,7,0.7,231.1,29.1,1.03,3.9,29165.5
Georgia Tech,22,13,0.591,622.4,28.6,-0.53,-10.1,14401.1
Temple,9,2,0.222,183.5,23.8,0.92,9.7,9654.2
Boston College,9,4,0.444,168.8,9.4,0.26,3.5,7285.8
Pittsburgh,10,2,0.2,117.2,2.4,-0.08,-14.8,-1448.2
Oklahoma,13,3,0.231,200.7,-3.5,-0.07,16.9,-7311.4
Arizona,37,13,0.351,836.6,-4.4,-0.68,-2.9,19917.7
Kentucky,41,25,0.61,1103.2,-5.6,-0.86,4.8,26348.5
Utah,8,4,0.5,236.1,-5.6,-0.35,-10.0,369.8
Wisconsin,8,2,0.25,174.9,-9.0,-1.02,4.6,-7315.6
Fresno State,10,2,0.2,139.2,-16.2,-0.32,15.1,-7090.4
Oregon,10,4,0.4,139.0,-18.2,-0.64,5.3,-5545.2
Virginia,8,2,0.25,90.1,-21.7,-1.04,-10.8,652.6
Miami (FL),10,2,0.2,63.5,-23.6,-1.15,-5.0,-3554.5
New Mexico,8,4,0.5,117.0,-26.3,-1.67,-12.4,-7819.1
Cincinnati,14,5,0.357,225.2,-28.2,-1.72,-31.3,7818.4
Purdue,9,3,0.333,111.1,-28.3,-1.53,-19.7,2514.0
Notre Dame,9,4,0.444,147.0,-30.9,-1.6,-23.2,-10914.5
Providence,13,5,0.385,126.5,-31.9,-1.23,-12.7,-6170.8
Florida State,15,4,0.267,200.9,-34.1,-0.65,3.4,-13053.3
St. John's (NY),11,3,0.273,125.6,-38.7,-2.06,-7.0,-8716.6
Washington,13,5,0.385,183.0,-45.8,-2.32,-4.3,-21713.4
Iowa,12,2,0.167,85.4,-54.2,-2.61,-13.5,-22202.4
Georgia,13,2,0.154,101.6,-60.9,-2.4,-28.3,-10941.8
Gonzaga,8,1,0.125,77.7,-66.0,-2.44,-24.0,-22359.5
Minnesota,10,4,0.4,128.9,-68.2,-2.77,-30.1,-25284.3
Baylor,8,1,0.125,37.4,-70.2,-3.48,-24.8,-28674.8
Illinois,14,3,0.214,229.2,-72.2,-3.2,-1.8,-26630.9
Louisiana State,18,6,0.333,347.8,-72.7,-4.27,-36.1,-41621.1
Vanderbilt,8,0,0.0,10.0,-72.7,-3.13,-18.3,-32286.3
Michigan,23,10,0.435,509.1,-73.8,-2.11,-53.6,23811.9
Missouri,14,4,0.286,125.3,-86.0,-4.35,-32.7,-11195.8
North Carolina State,11,4,0.364,105.5,-88.9,-3.56,-29.7,-30022.4
Oklahoma State,13,4,0.308,133.9,-94.8,-4.2,-42.6,-23177.6
Nevada-Las Vegas,11,5,0.455,321.8,-97.7,-4.76,-33.3,-33282.6
Ohio State,15,6,0.4,315.3,-107.2,-4.63,-42.9,-14355.9
Iowa State,10,2,0.2,85.1,-116.9,-6.37,-37.2,-43528.0
Duke,41,17,0.415,1095.0,-132.8,-6.6,-72.3,-47607.9
Kansas,34,15,0.441,707.1,-137.2,-8.47,-76.4,-35388.8
Maryland,19,7,0.368,270.9,-146.8,-6.26,-85.6,-31517.0
Memphis,16,5,0.312,231.8,-177.1,-7.05,-58.4,-40394.1
Louisville,18,6,0.333,195.2,-205.1,-7.13,-77.4,-78032.6
Indiana,16,6,0.375,182.6,-218.0,-8.96,-87.8,-63090.5
Syracuse,26,8,0.308,353.9,-284.1,-14.37,-94.6,-69690.6
