pick,picks,exp_ws,exp_min,exp_vorp,exp_peak3
1,27,77.178,25540.593,30.267,4768.222
2,27,60.421,23530.173,20.53,4007.111
3,27,60.421,23530.173,20.53,4007.111
4,27,60.421,23530.173,19.737,3887.519
5,27,54.889,22883.63,17.826,3524.333
6,27,36.284,17268.237,9.704,2979.593
7,27,36.284,17268.237,9.704,2979.593
8,27,36.284,17268.237,9.704,2962.889
9,27,36.284,17268.237,9.704,2962.889
10,27,36.284,17268.237,9.704,2962.889
11,27,27.347,12995.049,6.336,2382.086
12,27,27.347,12995.049,6.336,2382.086
13,27,27.347,12995.049,6.336,2382.086
14,27,25.191,11488.5,6.336,2192.093
15,27,25.191,11488.5,6.336,2192.093
16,27,23.143,11488.5,5.58,2192.093
17,27,23.143,11488.5,5.58,2192.093
18,27,21.848,10691.444,4.589,2024.667
19,27,19.102,10004.389,3.699,1969
20,27,19.102,10004.389,3.699,1900.43
21,27,19.102,10004.389,3.699,1900.43
22,27,19.102,10004.389,3.699,1900.43
23,27,19.102,10004.389,3.699,1900.43
24,27,19.102,10004.389,3.699,1900.43
25,27,17.653,8479.691,3.633,1639.951
26,27,17.653,8479.691,3.633,1639.951
27,27,17.653,8479.691,2.833,1639.951
28,27,14.816,7429.037,2.788,1355.358
29,27,14.816,6732.019,2.788,1355.358
30,27,14.816,6732.019,2.788,1355.358
31,27,8.943,4711.744,1.533,982.785
32,27,8.943,4711.744,1.533,982.785
33,27,8.943,4711.744,1.533,982.785
34,27,8.943,4711.744,1.533,982.785
35,27,8.943,4711.744,1.533,982.785
36,27,8.943,4711.744,1.533,982.785
37,27,8.943,4711.744,1.533,982.785
38,27,8.912,4711.744,1.533,982.785
39,27,8.912,4711.744,1.533,982.785
40,27,8.912,4711.744,1.533,982.785
41,27,8.912,4711.744,1.533,982.785
42,27,8.912,4711.744,1.533,858.444
43,27,8.912,4711.744,1.533,858.444
44,27,8.912,4272.074,1.533,811.111
45,27,8.912,4272.074,1.533,811.111
46,27,7.433,3774.796,1.533,749.815
47,27,7.433,3774.796,1.533,749.815
48,27,5.893,2739.556,1.515,676.926
49,27,4.274,2405.111,0.509,611.889
50,27,3.586,1851.298,0.509,363.924
51,27,3.586,1851.298,0.509,363.924
52,27,3.586,1851.298,0.509,363.924
53,27,3.586,1851.298,0.509,363.924
54,27,3.586,1851.298,0.509,363.924
55,21,3.586,1851.298,0.509,363.924
56,21,3.586,1851.298,0.509,363.924
57,21,3.586,1851.298,0.509,363.924
58,18,1.7,752.854,0.298,222.829
59,12,1.7,752.854,0.298,222.829
60,11,1.7,752.854,0.298,222.829
