player,year,pick,team,college,career_min,expected_min,value_added
Clifford Robinson,1989,36,Portland Trail Blazers,Connecticut,42561.0,4653.1,37907.9
LeBron James,2003,1,Cleveland Cavaliers,Saint Vincent-Saint Mary,61028.0,23802.9,37225.1
Kobe Bryant,1996,13,Charlotte Hornets,Lower Merion,48653.0,12352.0,36301.0
Dirk Nowitzki,1998,9,Milwaukee Bucks,DJK Wurzburg (Germany),51369.0,17268.2,34100.8
Tony Parker,2001,28,San Antonio Spurs,Paris Basket Racing (France),38278.0,8885.6,29392.4
Michael Finley,1995,21,Phoenix Suns,Wisconsin,37995.0,8885.6,29109.4
Kyle Korver,2003,51,Brooklyn Nets,Creighton,31183.0,2133.1,29049.9
Rashard Lewis,1998,32,Oklahoma City Thunder,Elsik,33542.0,4653.1,28888.9
Paul Pierce,1998,10,Boston Celtics,Kansas,45883.0,17268.2,28614.8
Paul Millsap,2006,47,Utah Jazz,Louisiana Tech,30497.0,2133.1,28363.9
Trevor Ariza,2004,43,New York Knicks,California-Los Angeles,32954.0,4653.1,28300.9
Kyle Lowry,2006,24,Memphis Grizzlies,Villanova,36800.0,8885.6,27914.4
Steve Nash,1996,15,Phoenix Suns,Santa Clara,38073.0,10620.9,27452.1
Joe Johnson,2001,10,Boston Celtics,Arkansas,44232.0,17268.2,26963.8
Kevin Garnett,1995,5,Minnesota Timberwolves,Farragut Career Academy,50414.0,23802.9,26611.1
