player,year,pick,team,college,ws,expected_ws,value_ws,vorp
LeBron James,2003,1,Cleveland Cavaliers,Saint Vincent-Saint Mary,276.8,77.2,199.6,159.4
Dirk Nowitzki,1998,9,Milwaukee Bucks,DJK Wurzburg (Germany),206.3,36.3,170,84.8
Chris Paul,2005,4,New Orleans Pelicans,Wake Forest,215.2,60.4,154.8,98.8
Kobe Bryant,1996,13,Charlotte Hornets,Lower Merion,172.7,27.3,145.4,80.1
Kevin Garnett,1995,5,Minnesota Timberwolves,Farragut Career Academy,191.4,54.9,136.5,96.9
Nikola Jokić,2014,41,Denver Nuggets,KK Mega Leks (Serbia),142.9,8.9,134,82.5
Tim Duncan,1997,1,San Antonio Spurs,Wake Forest,206.4,77.2,129.2,91.1
Kevin Durant,2007,2,Oklahoma City Thunder,Texas,186.1,60.4,125.7,92.2
James Harden,2009,3,Oklahoma City Thunder,Arizona State,182.4,60.4,122,87.9
Jimmy Butler III,2011,30,Chicago Bulls,Marquette,129.4,14.8,114.6,52.8
Paul Pierce,1998,10,Boston Celtics,Kansas,150,36.3,113.7,65.5
Stephen Curry,2009,7,Golden State Warriors,Davidson,147.1,36.3,110.8,77.2
Rudy Gobert,2013,27,Denver Nuggets,Cholet Basket (France),124.9,17.7,107.2,35.8
Shaquille O'Neal,1992,1,Orlando Magic,Louisiana State,181.7,77.2,104.5,75.5
Steve Nash,1996,15,Phoenix Suns,Santa Clara,129.7,25.2,104.5,48.2
