team,picks,avg_pick,hits,total_ws,value_ws,ci_lo,ci_hi,value_ws_z,value_vorp,value_min,kept_min,kept_share
Oklahoma City Thunder,69,31.1,25,1622.8,489.1,-13.9,992.0,16.27,225.8,122043.4,247281.0,0.376
San Antonio Spurs,50,40.8,16,979.5,410.9,-10.0,831.8,14.69,136.1,122441.6,169300.0,0.438
Los Angeles Lakers,48,35.8,15,886.0,250.9,-76.1,577.8,9.84,107.5,108769.9,170767.0,0.412
Phoenix Suns,60,34.1,18,1094.1,240.0,-164.2,644.1,8.75,103.5,63363.3,156820.0,0.328
Golden State Warriors,56,27.2,22,1347.8,203.9,-187.0,594.7,5.94,90.4,60489.1,267345.0,0.456
Indiana Pacers,45,32.5,17,881.2,192.2,-101.6,486.0,8.34,55.5,58338.9,155764.0,0.397
New Orleans Pelicans,20,25.7,8,642.3,182.9,-186.9,552.7,5.45,95.9,14283.1,68788.0,0.314
Cleveland Cavaliers,50,26.2,22,1303.6,179.0,-359.6,717.6,5.6,88.5,60782.7,183848.0,0.331
Houston Rockets,53,30.0,20,996.7,123.7,-193.3,440.7,5.4,27.4,35796.5,106041.0,0.234
Detroit Pistons,54,31.3,20,1012.7,104.0,-207.7,415.7,4.5,1.3,56887.5,187170.0,0.384
Denver Nuggets,51,28.9,20,1134.0,102.7,-345.0,550.5,2.34,30.6,8883.9,166928.0,0.346
Milwaukee Bucks,59,28.8,24,1205.6,43.6,-445.6,532.8,-1.02,15.6,20103.2,186819.0,0.338
Toronto Raptors,34,24.2,15,908.1,39.0,-285.6,363.6,1.17,1.1,-1622.6,128275.0,0.331
Utah Jazz,57,32.6,22,925.6,34.1,-267.0,335.2,0.79,-10.0,18786.1,183146.0,0.411
Boston Celtics,53,27.6,20,975.4,-11.9,-357.6,333.7,-1.86,10.7,29880.3,195938.0,0.387
Philadelphia 76ers,63,30.1,19,1156.1,-40.2,-385.8,305.3,-4.8,9.7,9716.2,192900.0,0.35
Brooklyn Nets,45,25.9,15,884.1,-80.5,-403.4,242.4,-4.91,-21.8,-42782.7,123087.0,0.31
Memphis Grizzlies,41,26.6,16,895.0,-80.6,-392.7,231.4,-5.12,-22.7,-22854.3,115108.0,0.284
New York Knicks,40,27.8,13,631.0,-86.3,-327.4,154.9,-2.54,-20.8,-43303.7,88164.0,0.289
Chicago Bulls,64,28.1,20,1160.6,-105.4,-504.4,293.5,-7.97,-82.4,-28417.6,194854.0,0.358
Charlotte Hornets,46,22.1,20,1127.4,-110.1,-512.4,292.3,-6.38,-55.0,-42349.3,171009.0,0.337
Miami Heat,48,32.0,15,700.7,-116.2,-374.0,141.5,-6.37,-35.6,-29598.2,116665.0,0.333
Portland Trail Blazers,59,31.6,14,755.0,-177.0,-547.0,193.0,-8.54,-39.3,-68919.8,126828.0,0.335
Orlando Magic,52,25.3,16,1041.1,-187.1,-540.9,166.6,-8.91,-59.5,-109167.6,137405.0,0.321
Sacramento Kings,57,27.1,25,994.1,-195.4,-521.4,130.7,-8.14,-100.6,-30995.7,218167.0,0.42
Atlanta Hawks,63,30.0,13,898.1,-214.4,-548.8,120.0,-11.63,-57.0,-83075.9,172039.0,0.386
Minnesota Timberwolves,68,28.9,25,1201.3,-231.6,-638.2,175.0,-11.7,-54.2,-74764.1,201180.0,0.353
Washington Wizards,53,27.7,17,834.6,-272.8,-500.0,-45.7,-12.12,-150.5,-16830.8,188916.0,0.394
Dallas Mavericks,54,34.0,9,521.6,-292.0,-523.3,-60.7,-12.09,-81.7,-103115.4,88871.0,0.318
LA Clippers,50,23.3,21,852.6,-394.3,-700.3,-88.3,-16.87,-208.4,-92768.0,169272.0,0.371
